"","incomeChangeHH","age","profile_gender","profile_GOR","profile_socialgrade_cie","pastvote_ge_2019","approveUKGovt"
"1","It hasn’t changed","48","Male","Scotland","B","Scottish National Party (SNP)","Strongly disapprove"
"2","It hasn’t changed","54","Female","East Midlands","D","Conservative","Approve"
"3","It hasn’t changed","74","Male","East of England","C1","Conservative","Strongly disapprove"
"4","It is less than half what it was","49","Male","Yorkshire and the Humber","B","Labour","Strongly disapprove"
"5","It hasn’t changed","73","Female","East Midlands","A","Conservative","Strongly approve"
"6","It hasn’t changed","69","Female","West Midlands","C2","Conservative","Approve"
"7","It hasn’t changed","48","Male","East of England","C1","Labour","Strongly disapprove"
"8","It is less than half what it was","59","Male","North West","B","Conservative","Approve"
"9","It hasn’t changed","49","Male","London","B","Conservative","Strongly approve"
"10","It has decreased by less than a quarter","63","Male","East Midlands","A","Conservative","Approve"
"11","It hasn’t changed","67","Male","Yorkshire and the Humber","B","Other","Neither approve nor disapprove"
"12","It has decreased by between a quarter and a half","58","Male","Scotland","C1","Labour","Strongly disapprove"
"13","It hasn’t changed","45","Male","South East","A","Conservative","Neither approve nor disapprove"
"14","It hasn’t changed","70","Male","Scotland","E","Scottish National Party (SNP)","Disapprove"
"15","It hasn’t changed","57","Male","West Midlands","B","Labour","Disapprove"
"16","It has decreased by between a quarter and a half","65","Male","Yorkshire and the Humber","B","Conservative","Approve"
"17","It has decreased by less than a quarter","55","Male","South West","B","Green","Approve"
"18","It hasn’t changed","35","Male","East of England","E",NA,"Neither approve nor disapprove"
"19","Don’t know","36","Female","East Midlands","D","Labour","Strongly disapprove"
"20","It hasn’t changed","60","Male","South West","B","Labour","Strongly disapprove"
"21","It hasn’t changed","76","Male","Scotland","E","Conservative","Strongly approve"
"22","It hasn’t changed","69","Male","Scotland","D","Labour","Strongly disapprove"
"23","It has decreased by less than a quarter","47","Male","South East","C1","Labour","Disapprove"
"24","It hasn’t changed","75","Female","Wales","C1","Liberal Democrat","Disapprove"
"25","It is less than half what it was","59","Male","East Midlands","E","Conservative","Strongly approve"
"26","It has decreased by between a quarter and a half","53","Female","Scotland","C2","Scottish National Party (SNP)","Strongly disapprove"
"27","It hasn’t changed","38","Male","South East","B","Liberal Democrat","Neither approve nor disapprove"
"28","It has decreased by less than a quarter","48","Female","West Midlands","C1","Conservative","Approve"
"29","It hasn’t changed","42","Male","Scotland","A","Scottish National Party (SNP)","Approve"
"30","It hasn’t changed","42","Female","South East","E","Liberal Democrat","Disapprove"
